function_name,calls,min_microseconds,max_microseconds,average_microseconds,total_microseconds
"void __cdecl PaintParkEntranceScrollingText(struct PaintSession &,const class OpenRCT2::EntranceObject &,unsigned char,int)",0,0,0,0,0
"void __cdecl PaintParkEntranceLightEffects(struct PaintSession &)",0,0,0,0,0
"void __cdecl PaintParkEntrance(struct PaintSession &,unsigned char,int,const struct OpenRCT2::EntranceElement &)",0,0,0,0,0
"void __cdecl PaintHeightMarkers(struct PaintSession &,const struct OpenRCT2::EntranceElement &,int)",33220,0,3.2,0.0409482239615,1360.3
"void __cdecl PaintEntrance(struct PaintSession &,unsigned char,int,const struct OpenRCT2::EntranceElement &)",33220,0.2,1367.7,2.76612582781,91890.7
"void __cdecl PaintLargeScenerySupports(struct PaintSession &,unsigned char,unsigned short,const struct OpenRCT2::LargeSceneryElement &,struct ImageId,const struct OpenRCT2::LargeSceneryTile &)",0,0,0,0,0
"void __cdecl PaintLargeScenery3DTextLine(struct PaintSession &,const struct OpenRCT2::LargeSceneryEntry &,const struct OpenRCT2::LargeSceneryText &,class std::basic_string_view<char,struct std::char_traits<char> >,struct ImageId,unsigned char,int)",0,0,0,0,0
"void __cdecl PaintLargeScenery3DText(struct PaintSession &,const struct OpenRCT2::LargeSceneryEntry &,const struct OpenRCT2::LargeSceneryTile &,const struct OpenRCT2::LargeSceneryElement &,unsigned char,unsigned short,bool)",0,0,0,0,0
"void __cdecl PaintLargeSceneryScrollingText(struct PaintSession &,const struct OpenRCT2::LargeSceneryEntry &,const struct OpenRCT2::LargeSceneryElement &,unsigned char,unsigned short,const struct CoordsXYZ &,bool)",0,0,0,0,0
"void __cdecl PaintLargeScenery(struct PaintSession &,unsigned char,unsigned short,const struct OpenRCT2::LargeSceneryElement &)",0,0,0,0,0
"void __cdecl PaintSmallScenerySupports(struct PaintSession &,const struct OpenRCT2::SmallSceneryEntry &,const struct OpenRCT2::SmallSceneryElement &,unsigned char,int,struct ImageId)",0,0,0,0,0
