function_name,calls,min_microseconds,max_microseconds,average_microseconds,total_microseconds
"void __cdecl ViewportSurfaceSmoothenEdge(struct PaintSession &,const enum edge_t,const struct TileDescriptor &,const struct TileDescriptor &)",0,0,0,0,0
"void __cdecl ViewportSurfaceDrawTileSideBottom(struct PaintSession &,enum edge_t,unsigned short,const class OpenRCT2::TerrainEdgeObject *,const struct TileDescriptor &,const struct TileDescriptor &,bool)",3070736,0,778.9,0.0680431336331,208942.5
"void __cdecl ViewportSurfaceDrawTileSideTop(struct PaintSession &,enum edge_t,unsigned short,const class OpenRCT2::TerrainEdgeObject *,const struct TileDescriptor &,const struct TileDescriptor &,bool)",3070736,0,1357.6,0.0602452636762,184997.3
"void __cdecl PaintSurface(struct PaintSession &,unsigned char,unsigned short,const struct OpenRCT2::SurfaceElement &)",1515436,0.2,1358.4,0.841659891939,1275481.7
"void __cdecl PaintBannerScrollingText(struct PaintSession &,const struct OpenRCT2::BannerSceneryEntry &,struct Banner &,const struct OpenRCT2::BannerElement &,unsigned char,int,const struct CoordsXYZ &)",0,0,0,0,0
"void __cdecl PaintBanner(struct PaintSession &,unsigned char,int,const struct OpenRCT2::BannerElement &)",0,0,0,0,0
"void __cdecl PaintRideEntranceExitScrollingText(struct PaintSession &,const struct OpenRCT2::EntranceElement &,const class OpenRCT2::StationObject &,unsigned char,int)",33220,3.5,968.7,2.04223660446,67843.1
"void __cdecl PaintRideEntranceExitLightEffects(struct PaintSession &,int,const struct OpenRCT2::EntranceElement &)",33220,0,103,0.0556682721252,1849.3
"void __cdecl PaintRideEntranceExit(struct PaintSession &,unsigned char,int,const struct OpenRCT2::EntranceElement &)",33220,0.1,971.5,2.50135761589,83095.1
"void __cdecl PaintParkEntranceScrollingText(struct PaintSession &,const class OpenRCT2::EntranceObject &,unsigned char,int)",0,0,0,0,0
"void __cdecl PaintParkEntranceLightEffects(struct PaintSession &)",0,0,0,0,0
"void __cdecl PaintParkEntrance(struct PaintSession &,unsigned char,int,const struct OpenRCT2::EntranceElement &)",0,0,0,0,0
"void __cdecl PaintHeightMarkers(struct PaintSession &,const struct OpenRCT2::EntranceElement &,int)",33220,0.1,3.3,0.0435189644792,1445.7
"void __cdecl PaintEntrance(struct PaintSession &,unsigned char,int,const struct OpenRCT2::EntranceElement &)",33220,0.2,972.7,2.72118904275,90397.9
"void __cdecl PaintLargeScenerySupports(struct PaintSession &,unsigned char,unsigned short,const struct OpenRCT2::LargeSceneryElement &,struct ImageId,const struct OpenRCT2::LargeSceneryTile &)",0,0,0,0,0
"void __cdecl PaintLargeScenery3DTextLine(struct PaintSession &,const struct OpenRCT2::LargeSceneryEntry &,const struct OpenRCT2::LargeSceneryText &,class std::basic_string_view<char,struct std::char_traits<char> >,struct ImageId,unsigned char,int)",0,0,0,0,0
"void __cdecl PaintLargeScenery3DText(struct PaintSession &,const struct OpenRCT2::LargeSceneryEntry &,const struct OpenRCT2::LargeSceneryTile &,const struct OpenRCT2::LargeSceneryElement &,unsigned char,unsigned short,bool)",0,0,0,0,0
"void __cdecl PaintLargeSceneryScrollingText(struct PaintSession &,const struct OpenRCT2::LargeSceneryEntry &,const struct OpenRCT2::LargeSceneryElement &,unsigned char,unsigned short,const struct CoordsXYZ &,bool)",0,0,0,0,0
"void __cdecl PaintLargeScenery(struct PaintSession &,unsigned char,unsigned short,const struct OpenRCT2::LargeSceneryElement &)",0,0,0,0,0
"void __cdecl PaintSmallScenerySupports(struct PaintSession &,const struct OpenRCT2::SmallSceneryEntry &,const struct OpenRCT2::SmallSceneryElement &,unsigned char,int,struct ImageId)",0,0,0,0,0
"void __cdecl PaintSmallSceneryBody(struct PaintSession &,unsigned char,int,const struct OpenRCT2::SmallSceneryElement &,const struct OpenRCT2::SmallSceneryEntry *,struct ImageId)",0,0,0,0,0
"void __cdecl PaintSmallScenery(struct PaintSession &,unsigned char,int,const struct OpenRCT2::SmallSceneryElement &)",0,0,0,0,0
"void __cdecl PaintWallDoor(struct PaintSession &,const struct OpenRCT2::WallSceneryEntry &,struct ImageId,struct CoordsXYZ,struct BoundBoxXYZ,struct BoundBoxXYZ,struct BoundBoxXYZ)",0,0,0,0,0
"void __cdecl PaintWallDoor(struct PaintSession &,const struct OpenRCT2::WallSceneryEntry &,const struct OpenRCT2::WallElement &,struct ImageId,unsigned char,int)",0,0,0,0,0
"void __cdecl PaintWallWall(struct PaintSession &,const struct OpenRCT2::WallSceneryEntry &,struct ImageId,unsigned int,struct CoordsXYZ,struct BoundBoxXYZ,bool)",15100,0.1,0.6,0.0982251655629,1483.2
"void __cdecl PaintWallScrollingText(struct PaintSession &,const struct OpenRCT2::WallSceneryEntry &,const struct OpenRCT2::WallElement &,unsigned char,int,const struct CoordsXYZ &,bool)",15100,0,2.1,0.0426357615894,643.8
"void __cdecl PaintWallWall(struct PaintSession &,const struct OpenRCT2::WallSceneryEntry &,const struct OpenRCT2::WallElement &,struct ImageId,unsigned char,int,bool)",15100,0.1,6.6,0.314046357616,4742.1
"void __cdecl PaintWall(struct PaintSession &,unsigned char,int,const struct OpenRCT2::WallElement &)",15100,0.1,9.6,0.531973509934,8032.8
"void __cdecl PaintBalloon(struct PaintSession &,const struct OpenRCT2::Balloon &,int)",4020,0.1,85.2,0.150746268657,606
"void __cdecl PaintCrashSplashParticle(struct PaintSession &,const struct OpenRCT2::CrashSplashParticle &)",0,0,0,0,0
"void __cdecl OpenRCT2::PaintDuck(struct PaintSession &,const struct OpenRCT2::Duck &,int)",0,0,0,0,0
"void __cdecl PaintExplosionCloud(struct PaintSession &,const struct OpenRCT2::ExplosionCloud &)",0,0,0,0,0
"void __cdecl PaintExplosionFlare(struct PaintSession &,const struct OpenRCT2::ExplosionFlare &)",0,0,0,0,0
"void __cdecl PaintGuest(struct PaintSession &,const struct OpenRCT2::Guest &,int)",254335,0.1,15.4,0.131031120373,33325.8
"void __cdecl PaintJumpingFountain(struct PaintSession &,const struct OpenRCT2::JumpingFountain &,int)",0,0,0,0,0
"void __cdecl OpenRCT2::PaintLitter(struct PaintSession &,const struct OpenRCT2::Litter &,int)",438,0.1,0.2,0.0593607305936,26
"void __cdecl PaintMoneyEffect(struct PaintSession &,const struct OpenRCT2::MoneyEffect &)",10952,0,1.1,0.0421110299489,461.2
"void __cdecl PaintStaff(struct PaintSession &,const struct OpenRCT2::Staff &,int)",58196,0.1,276,0.155534744656,9051.5
"void __cdecl PaintSteamParticle(struct PaintSession &,const struct OpenRCT2::SteamParticle &)",0,0,0,0,0
"void __cdecl OpenRCT2::PaintVehicleCrashParticle(struct PaintSession &,const struct OpenRCT2::VehicleCrashParticle &)",0,0,0,0,0
"void __cdecl OpenRCT2::Audio::UpdateVehicleSounds(void)",302,187.7,335,212.982119205,64320.6
"void __cdecl OpenRCT2::Ui::ProvisionalElementsRemove(void)",1200,0.1,0.5,0.115583333333,138.7
"void __cdecl OpenRCT2::Ui::ProvisionalElementsRestore(void)",1200,0.1,0.5,0.11275,135.3
